config_id,model_family,fold,fit_seconds,train_rows,validation_rows,train_late_rate,validation_late_rate,pr_auc,roc_auc,precision,recall,f1,accuracy,positive_rate,threshold
random_forest_02,random_forest,4,9.506986014996073,71735,10247,0.08751655398341117,0.05787059627207963,0.14537962745276006,0.7277048963269075,0.2267080745341615,0.12310286677908938,0.15956284153005465,0.9249536449692592,0.03142383136527764,0.5
random_forest_03,random_forest,1,5.669763992998924,40991,10248,0.06681954575394598,0.0625487900078064,0.09837620677189712,0.6120168487389022,0.17,0.0530421216848674,0.08085612366230678,0.9245706479313037,0.0195160031225605,0.5
random_forest_03,random_forest,2,7.830330017997767,51239,10248,0.06596537793477625,0.20735753317720532,0.3516131743256199,0.6763325053768892,0.8,0.0018823529411764706,0.003755868544600939,0.7929352068696331,0.0004879000780640125,0.5
random_forest_03,random_forest,3,9.348001354002918,61487,10248,0.08953112039943403,0.07542935206869633,0.22582939457275436,0.760449333884021,0.23344370860927152,0.3648124191461837,0.2847046945986875,0.8617291178766588,0.11787665886026542,0.5
random_forest_03,random_forest,4,11.544453069996962,71735,10247,0.08751655398341117,0.05787059627207963,0.15342279705545836,0.7421514590322633,0.14285714285714285,0.0016863406408094434,0.0033333333333333335,0.941641456035913,0.0006831267688103836,0.5
random_forest_04,random_forest,1,5.2002199760027,40991,10248,0.06681954575394598,0.0625487900078064,0.09658552154968554,0.6153423944806236,0.12482269503546099,0.1372854914196568,0.13075780089153047,0.8858313817330211,0.06879391100702575,0.5
random_forest_04,random_forest,2,7.512659840998822,51239,10248,0.06596537793477625,0.20735753317720532,0.36636465780151484,0.6823481327530396,0.4813953488372093,0.09741176470588235,0.16203522504892368,0.7910811865729899,0.04195940671350507,0.5
random_forest_04,random_forest,3,10.588914813000883,61487,10248,0.08953112039943403,0.07542935206869633,0.2295214774789923,0.7629049005519393,0.18058529621698788,0.6545924967658473,0.28307692307692306,0.7499024199843872,0.2734192037470726,0.5
random_forest_04,random_forest,4,11.965479933998722,71735,10247,0.08751655398341117,0.05787059627207963,0.15450563350515864,0.7508429083035246,0.25,0.0775716694772344,0.11840411840411841,0.933151166194984,0.01795647506587294,0.5
hist_gradient_boosting_01,hist_gradient_boosting,1,4.745079592001275,40991,10248,0.06681954575394598,0.0625487900078064,0.10797018742126596,0.6366294435268616,0.09751121991024071,0.37285491419656785,0.15459249676584735,0.7449258391881343,0.2391686182669789,0.5
hist_gradient_boosting_01,hist_gradient_boosting,2,6.87071825699968,51239,10248,0.06596537793477625,0.20735753317720532,0.37563142199906135,0.6996623386028054,0.3338441890166028,0.6150588235294118,0.4327814569536424,0.6656908665105387,0.3820257611241218,0.5
hist_gradient_boosting_01,hist_gradient_boosting,3,6.309058644998004,61487,10248,0.08953112039943403,0.07542935206869633,0.23858336562457838,0.7552155703543403,0.09494268374915711,0.9107373868046572,0.1719589643380557,0.33840749414519905,0.7235558157689306,0.5
hist_gradient_boosting_01,hist_gradient_boosting,4,9.52118843900098,71735,10247,0.08751655398341117,0.05787059627207963,0.16167653998896972,0.759358631587148,0.18646080760095013,0.26475548060708265,0.21881533101045297,0.8906021274519371,0.08217039133404899,0.5
hist_gradient_boosting_02,hist_gradient_boosting,1,3.7996683419987676,40991,10248,0.06681954575394598,0.0625487900078064,0.1099011483859254,0.6280839325589263,0.09976580796252928,0.33229329173166927,0.15345821325648415,0.7706869633099142,0.20833333333333334,0.5
hist_gradient_boosting_02,hist_gradient_boosting,2,5.5170006480038865,51239,10248,0.06596537793477625,0.20735753317720532,0.3751620586656992,0.6962795547863365,0.3411436541143654,0.5755294117647058,0.42837127845884415,0.6814988290398126,0.349824355971897,0.5
hist_gradient_boosting_02,hist_gradient_boosting,3,4.674576678997255,61487,10248,0.08953112039943403,0.07542935206869633,0.2365930568610427,0.7549419559199501,0.096989038434855,0.9042690815006468,0.17518796992481203,0.35772833723653397,0.7032591725214676,0.5
hist_gradient_boosting_02,hist_gradient_boosting,4,6.811659374994633,71735,10247,0.08751655398341117,0.05787059627207963,0.17447201179699234,0.7578841752634405,0.22714681440443213,0.2765598650927487,0.2494296577946768,0.9036791255977359,0.07045964672587099,0.5
hist_gradient_boosting_03,hist_gradient_boosting,1,3.60805702599464,40991,10248,0.06681954575394598,0.0625487900078064,0.10628067273315492,0.6341231457106727,0.09780844155844155,0.37597503900156004,0.15523349436392914,0.7440476190476191,0.24043715846994534,0.5
hist_gradient_boosting_03,hist_gradient_boosting,2,3.845863055998052,51239,10248,0.06596537793477625,0.20735753317720532,0.37390860747779503,0.7004777139712218,0.3359979370809696,0.6131764705882353,0.4341162751957355,0.6685206869633099,0.37841530054644806,0.5
hist_gradient_boosting_03,hist_gradient_boosting,3,4.236403759001405,61487,10248,0.08953112039943403,0.07542935206869633,0.23929895159184528,0.7581739240255727,0.09945543135568931,0.8978007761966365,0.17907366791381757,0.3790983606557377,0.6809133489461359,0.5
hist_gradient_boosting_03,hist_gradient_boosting,4,7.407202481997956,71735,10247,0.08751655398341117,0.05787059627207963,0.16009736609494382,0.7562764396866838,0.1925,0.2596964586846543,0.22110552763819097,0.8941153508343905,0.07807163072118668,0.5
hist_gradient_boosting_04,hist_gradient_boosting,1,4.7669693709976855,40991,10248,0.06681954575394598,0.0625487900078064,0.10460337071113299,0.6353105274413954,0.1020979020979021,0.3416536661466459,0.15721464465183058,0.7708821233411397,0.20930913348946137,0.5
hist_gradient_boosting_04,hist_gradient_boosting,2,5.181812308997905,51239,10248,0.06596537793477625,0.20735753317720532,0.37974108713274535,0.6960869571514435,0.33790079473828444,0.5802352941176471,0.427086941461725,0.6772053083528493,0.3560694769711163,0.5
hist_gradient_boosting_04,hist_gradient_boosting,3,4.205700999998953,61487,10248,0.08953112039943403,0.07542935206869633,0.23388002552120762,0.7514732376001393,0.09508285791904374,0.9055627425614489,0.1720958819913952,0.3427985948477752,0.718384074941452,0.5
hist_gradient_boosting_04,hist_gradient_boosting,4,6.106589777999034,71735,10247,0.08751655398341117,0.05787059627207963,0.1625396095718039,0.7537726063797268,0.20192307692307693,0.28330522765598654,0.23578947368421052,0.8937249926807846,0.08119449595003415,0.5
xgboost_01,xgboost,1,1.3478765550025855,40991,10248,0.06681954575394598,0.0625487900078064,0.10682626192495248,0.6305512572329686,0.09498355263157894,0.36037441497659906,0.15034168564920272,0.7452185792349727,0.2373145979703357,0.5
xgboost_01,xgboost,2,1.489886685005331,51239,10248,0.06596537793477625,0.20735753317720532,0.36629150228940166,0.690192322454034,0.3316300459887583,0.6108235294117647,0.42987249544626593,0.664032006245121,0.38192818110850896,0.5
